customer_name,total_sales,cum_share,tier
Kaitlyn Henderson,13294,0.0004929351096943769,A
Nichole Nara,13294,0.0009858702193887537,A
Margaret He,13268,0.001477841261620211,A
Randall Dominguez,13265,0.0019697010652982546,A
Adriana Gonzalez,13242,0.002460708040066792,A
Rosa Hu,13215,0.0029507138678546052,A
Brandi Gill,13195,0.0034399781052863268,A
Brad She,13172,0.003928389513808543,A
Francisco Sara,13164,0.004416504286188321,A
Maurice Shan,12914,0.004895349179116949,A
Janet Munoz,12488,0.005358398197460817,A
Lisa Cai,11468,0.005783626107643991,A
Lacey Zheng,11248,0.006200696523910153,A
Jordan Turner,11200,0.006615987123321693,A
Larry Munoz,11067,0.0070263461468652215,A
Larry Vazquez,10899,0.007430475811417577,A
Kate Anand,10871,0.007833567249471403,A
Lawrence Alonso,10836,0.00823536090440207,A
Terrance Rodriguez,10829,0.008636895002708103,A
Aaron Wright,10813,0.009037835828729262,A
Clarence Gao,10799,0.009438257541501158,A
Bonnie Nath,10793,0.009838456777166226,A
Andres Nara,10789,0.010238507694760075,A
Ethan Bryant,10778,0.010638150737658073,A
Ricky Vazquez,10580,0.011030452036030761,A
Latasha Rubio,10575,0.011422567936814424,A
Clarence Anand,10566,0.011814350121937848,A
Ariana Gray,10528,0.012204723285384696,A
Marco Lopez,10468,0.01259287167776327,A
Deanna Perez,9954,0.012961961197990274,A
Desiree Dominguez,9918,0.013329715855576317,A
Bryant Garcia,9913,0.013697285115573334,A
Jasmine Stewart,9905,0.014064557739427915,A
Cindy Patel,9890,0.014431274170515427,A
Sydney Bryant,9880,0.014797619806424894,A
Katrina Tang,9796,0.015160850762838773,A
Amy Sun,9780,0.015523488446967779,A
Gabriella Collins,9695,0.015882974372083393,A
Gerrit Straatsma,9614,0.016239456856256836,A
Frank Vazquez,9524,0.016592602183827864,A
Alicia Shen,9458,0.016943300263223788,A
Ronald Kapoor,9452,0.017293775865512884,A
Theodore Torres,9451,0.017644214388284177,A
Colleen Goel,9422,0.017993577605039137,A
Cole Stewart,9391,0.018341791356742153,A
Dominique Prasad,9330,0.018687743257859088,A
Jon Chander,8941,0.019019271226550033,A
Anne Dominguez,8886,0.019348759821761725,A
Kristy Munoz,8681,0.019670647115823472,A
Diana Ortega,8595,0.019989345571354025,A
Wendy Alvarez,8557,0.020306635005208004,A
Marie Sanz,8460,0.020620327725834935,A
Emmanuel Patel,8451,0.020933686730801624,A
Shannon Navarro,8421,0.021245933350234177,A
Bonnie Xie,8404,0.02155754961786405,A
Lacey He,8394,0.02186879509031588,A
Ryan Garcia,8392,0.0221799664037321,A
Morgan Bennett,8377,0.02249058152438125,A
Virginia Mehta,8376,0.022801159565512593,A
Blake Butler,8375,0.023111700527126133,A
Albert Blanco,8375,0.023422241488739674,A
Savannah Morris,8368,0.023732522893728583,A
Carmen Rana,8367,0.024042767219199686,A
Cory Kapoor,8367,0.02435301154467079,A
Jos├® Saraiva,8361,0.024663033393035064,A
Isaiah Cox,8361,0.024973055241399342,A
Latasha Alonso,8355,0.02528285461265679,A
Isabella Ward,8346,0.025592320268253997,A
Julian Henderson,8341,0.02590160052626218,A
Victor Carlson,8332,0.026210547068610122,A
Tamara Lal,8330,0.026519419451922457,A
Adriana Chandra,8326,0.02682814351716357,A
Bruce Gomez,8324,0.027136793423369075,A
Robyn Carlson,8321,0.02744533209102117,A
Cassie Andersen,8321,0.02775387075867326,A
Meagan Madan,8319,0.028062335267289743,A
Madison Hughes,8319,0.028370799775906227,A
Krista Martin,8317,0.0286791901254871,A
Clinton Blanco,8316,0.02898754339555017,A
Daisy Romero,8308,0.029295600029470802,A
Louis Xie,8306,0.029603582504355824,A
Evelyn Chandra,8305,0.029911527899723043,A
Nelson Ortega,8301,0.03021932497701904,A
Derrick Martin,8301,0.030527122054315042,A
Corey Kumar,8297,0.030834770813539823,A
Crystal Wang,8295,0.031142345413728994,A
Candace Raman,8280,0.0314493638211511,A
Monica Vance,8265,0.03175582603580613,A
Abby Sai,8262,0.03206217701190776,A
Byron Carlson,8257,0.03236834259042035,A
Audrey Munoz,8256,0.032674471089415145,A
Ruben Mu├▒oz,8250,0.03298037711130311,A
Jon Yang,8249,0.03328624605367327,A
Kelvin Carson,8249,0.03359211499604343,A
Stacy Alvarez,8248,0.033897946858895786,A
Marc Diaz,8248,0.034203778721748145,A
Max Alvarez,8245,0.034509499346047086,A
Ruben Kapoor,8245,0.03481521997034603,A
Beth Jim├®nez,8242,0.03512082935609156,A
Bethany Chander,8237,0.03542625334424806,A
Grace Griffin,8235,0.03573160317336896,A
Randall Gomez,8228,0.03603669344586522,A
Jon Gao,8224,0.03634163540029026,A
Deanna Munoz,8223,0.03664654027519751,A
Ann Gonzalez,8223,0.03695144515010475,A
Arthur Carlson,8222,0.03725631294549418,A
Adam Ross,8216,0.03756095826377679,A
Victoria Gonzales,8215,0.037865566502541595,A
Kaylee Cook,8214,0.038170137661788596,A
Bonnie Jai,8213,0.038474671741517794,A
Ricardo Nath,8212,0.03877916874172918,A
Marco Mehta,8211,0.039083628662422765,A
Jaime Gutierrez,8211,0.039388088583116355,A
Michele Nath,8207,0.03969240018573872,A
Kaylee Hill,8205,0.03999663762932548,A
Damien Chander,8204,0.040300837993394435,A
Max Serrano,8203,0.04060500127794558,A
Orlando Ashe,8203,0.04090916456249673,A
Elizabeth Johnson,8196,0.041213068290423246,A
Ann Martinez,8195,0.04151693493883196,A
Ernest Wu,8195,0.04182080158724067,A
Casey Luo,8194,0.042124631156131576,A
Randy Zeng,8192,0.042428386565986874,A
Brenda Perez,8189,0.04273203073728876,A
April Deng,8185,0.04303552659051943,A
Erika Rubio,8183,0.04333894828471448,A
Ashley Russell,8183,0.043642369978909544,A
Cassie Chande,8182,0.043945754593586794,A
Aimee He,8180,0.04424906504922844,A
Angela Henderson,8179,0.04455233842535228,A
Joe Rana,8179,0.04485561180147611,A
Stanley Malhotra,8177,0.045158811018564345,A
Edgar Sara,8173,0.04546186191758135,A
Randy Xu,8173,0.04576491281659836,A
Sharon Salavaria,8173,0.046067963715615376,A
Brett Mehta,8173,0.04637101461463239,A
Warren Andersen,8172,0.04667402843413159,A
Latasha Navarro,8172,0.0469770422536308,A
Bianca Lin,8171,0.0472800189936122,A
Leah Hu,8169,0.04758292157455799,A
Dorothy Robinson,8169,0.047885824155503784,A
Leah Ye,8169,0.048188726736449576,A
Gilbert Raje,8168,0.048491592237877565,A
Meagan Rana,8166,0.04879438358026995,A
Willie Raji,8165,0.04909713784314452,A
Kenneth Kumar,8165,0.04939989210601909,A
Joanna Vazquez,8164,0.04970260928937586,A
Janet Ortega,8163,0.05000528939321482,A
